Date,Prediction,Lower Bound,Upper Bound,Is Forecast
2023-07-12,2454.8456945862113,1590.9455056559257,3365.419093242495,false
2023-07-13,2463.04519599822,1579.9742739235512,3328.821734045245,false
2023-07-14,2500.274920193849,1624.6448460674042,3452.4460597510374,false
2023-07-15,1379.745287004956,492.9858692445934,2234.1423081476855,false
2023-07-16,1416.967634441875,468.2807472678278,2311.9740998003285,false
2023-07-17,2433.5030680143955,1431.0983873945179,3312.877506237386,false
2023-07-18,2343.2656745772942,1517.1321659387202,3247.394703702411,false
2023-07-19,2419.5291095774414,1522.7144688796816,3374.718008102075,false
2023-07-20,2439.980509352242,1450.257930028211,3340.2496722460382,false
2023-07-21,2508.7902080724475,1640.3131825565877,3425.2132393330216,false
2023-07-22,1447.6189530110396,452.4524639878091,2373.934186453855,false
2023-07-23,1554.4684017764698,656.4359320794553,2526.405619428716,false
2023-07-24,2615.3246142246535,1702.70559701591,3497.243789218784,false
2023-07-25,2515.3179090123135,1615.1589043878237,3431.6630559381947,false
2023-07-26,2527.1363443188884,1619.4793061332284,3500.572089300726,false
2023-07-27,2457.179230798527,1527.3517666349826,3355.3919342990043,false
2023-07-28,2449.1608488393736,1532.602736260365,3332.602094963176,false
2023-07-29,1352.9690891970038,395.89091022773846,2319.8367008843707,false
2023-07-30,1473.4154522424533,586.2853419134659,2352.557655544997,false
2023-07-31,2586.4205808507577,1685.51402419556,3469.268795509897,false
2023-08-01,2559.7435759585533,1749.4721701589804,3441.780731504933,false
2023-08-02,2646.2821366270196,1740.4935133149902,3522.365132085618,false
2023-08-03,2630.5588150591093,1753.8329991944663,3492.673143662593,false
2023-08-04,2635.7597675330976,1661.0176485359918,3578.202130497847,false
2023-08-05,1503.0717034912354,540.9975173086364,2425.311791923211,false
2023-08-06,1550.9170342482091,694.9746435535988,2439.6899818314737,false
2023-08-07,2589.187902222821,1657.795725172376,3455.820380083258,false
2023-08-08,2521.3237871106708,1615.0285658252944,3491.403286835281,false
2023-08-09,2613.660860205049,1699.813755029521,3492.86843742708,false
2023-08-10,2631.9719932645057,1734.3034257823504,3540.229237879197,false
2023-08-11,2662.5652995754535,1739.565317482835,3544.4284073991175,false
2023-08-12,1519.820442996687,658.4627209379788,2447.3166030672874,false
2023-08-13,1525.1126374331966,648.4835112440303,2333.7080137759694,false
2023-08-14,2516.22365709432,1599.022233568424,3503.2497164837037,false
2023-08-15,2425.0500625210684,1541.2784173733655,3352.2228789370693,false
2023-08-16,2524.700150214074,1569.1531191551107,3393.543791990705,false
2023-08-17,2564.8653325979185,1684.0496796975676,3485.968893161269,false
2023-08-18,2612.1893736509946,1656.9583758146682,3443.064003451336,false
2023-08-19,1478.3375464092755,577.5260652805309,2399.808921037531,false
2023-08-20,1501.0049916904059,561.5213995048674,2457.7758462843794,false
2023-08-21,2534.938548991521,1623.0400596830737,3344.8641451793646,false
2023-08-22,2508.123823683796,1597.3751037868358,3399.8327601533424,false
2023-08-23,2664.8013682915453,1784.683629639005,3521.4078747988024,false
2023-08-24,2719.189907291073,1767.8380487196264,3518.5634252719815,false
2023-08-25,2721.7822284642743,1755.6190637445466,3592.3095512493487,false
2023-08-26,1499.8309944752157,524.0336385846967,2355.46389608705,false
2023-08-27,1428.3616260698918,548.4885502734877,2299.289105906731,false
2023-08-28,2398.4901011749093,1503.5132212116464,3282.507860180831,false
2023-08-29,2356.165388499435,1444.574236277828,3248.631658316907,false
2023-08-30,2543.0421498823516,1679.1719731991088,3415.471384928297,false
2023-08-31,2658.7922105318034,1763.7141629626403,3525.9364854525043,false
2023-09-01,2735.3300632125333,1863.9948667540723,3632.428792899832,false
2023-09-02,1579.2042576351225,640.763530759871,2459.5934453331324,false
2023-09-03,1543.4768311150108,680.3936536447852,2483.6347278832263,false
2023-09-04,2503.1522633050854,1610.5907398153188,3421.4420670707996,false
2023-09-05,2405.8980711768104,1458.8913634592564,3321.3500331917944,false
2023-09-06,2518.5456030803334,1598.8697844760713,3320.9953622428557,false
2023-09-07,2578.6603931366667,1691.3784282490876,3461.020169753725,false
2023-09-08,2645.186973008194,1764.5342720889498,3560.031009722657,false
2023-09-09,1521.6509379603976,663.6715741428384,2452.749985766549,false
2023-09-10,1530.0289191044008,625.4381292183832,2419.796957295854,false
2023-09-11,2509.7227505077253,1521.5575517061427,3393.751022959562,false
2023-09-12,2395.135369402104,1462.655948594481,3329.3560776859485,false
2023-09-13,2470.449294944365,1613.3365927747477,3373.2773613257527,false
2023-09-14,2504.601741890958,1611.4645461964276,3473.1507872145285,false
2023-09-15,2575.5596452292025,1688.4540529032345,3488.1401938706736,false
2023-09-16,1480.4443731142196,652.439198042238,2413.0297601531506,false
2023-09-17,1519.978563297544,578.8159970627728,2424.501231541096,false
2023-09-18,2520.328812270424,1696.1528342916492,3394.139469555906,false
2023-09-19,2423.6460706244197,1528.610608418422,3246.18573441069,false
2023-09-20,2533.5308193135106,1612.2962155104515,3469.8031769673985,false
2023-09-21,2627.182613934156,1767.2656059492085,3554.2069908803915,false
2023-09-22,2764.950823402242,1869.9398664195953,3760.0891746753246,false
2023-09-23,1708.358761237756,782.4316317762901,2620.500672472146,false
2023-09-24,1729.409656474114,816.3478747137924,2656.217854640249,false
2023-09-25,2653.8363817834647,1737.862352070336,3532.799869586398,false
2023-09-26,2452.7392507059826,1545.835707230745,3352.3994114674265,false
2023-09-27,2469.5807164532425,1572.3229796117582,3422.665619704987,false
2023-09-28,2510.1797099412825,1623.3161626111842,3389.4658454738355,false
